alpha,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10
1,0.00046522014217127553,0.00046522014217127553,0.00046522014217127553,0.00046522014217127553,0.00046522014217127553,0.00046522014217127553,0.00046522014217127553,0.00046522014217127553,0.00046522014217127553,0.00046522014217127553
10,0.004651227691549185,0.004651227691549185,0.004651227691549185,0.004651227691549185,0.004651227691549185,0.004651227691549185,0.004651227691549185,0.004651227691549185,0.004651227691549185,0.004651227691549185
100,0.04641512761839339,0.04641512761839339,0.04641512761839339,0.04641512761839339,0.04641512761839339,0.04641512761839339,0.04641512761839339,0.04641512761839339,0.04641512761839339,0.04641512761839339
1000,0.4546549850645838,0.45465498506458385,0.45465498506458385,0.45465498506458385,0.45465498506458385,0.45465498506458385,0.45465498506458385,0.45465498506458385,0.45465498506458385,0.45465498506458385
10000,3.7743397736151008,3.7743397736151008,3.7743397736151008,3.7743397736151008,3.7743397736151008,3.7743397736151008,3.7743397736151008,3.7743397736151008,3.7743397736151008,3.7743397736151008
100000,13.987050788380119,13.98705078838012,13.98705078838012,13.98705078838012,13.98705078838012,13.98705078838012,13.98705078838012,13.98705078838012,13.98705078838012,13.98705078838012
1000000,19.17565029903468,19.175650299034682,19.175650299034682,19.175650299034682,19.175650299034682,19.175650299034682,19.175650299034682,19.175650299034682,19.175650299034682,19.175650299034682
10000000,19.91438923553977,19.91438923553977,19.91438923553977,19.91438923553977,19.91438923553977,19.91438923553977,19.91438923553977,19.91438923553977,19.91438923553977,19.91438923553977
100000000,19.99140581458874,19.99140581458874,19.99140581458874,19.99140581458874,19.99140581458874,19.99140581458874,19.99140581458874,19.99140581458874,19.99140581458874,19.99140581458874
1000000000,19.99914024896018,19.99914024896018,19.99914024896018,19.99914024896018,19.99914024896018,19.99914024896018,19.99914024896018,19.99914024896018,19.99914024896018,19.99914024896018
10000000000,19.999914021569616,19.999914021569616,19.999914021569616,19.999914021569616,19.999914021569616,19.999914021569616,19.999914021569616,19.999914021569616,19.999914021569616,19.999914021569616
10000000000,20.055,12943.138,25866.22,38789.302,51712.385,64635.467,77558.549,90481.632,103404.714,116327.796
